,Unnamed: 0,statnNo,statnNm,km,express,location,people,time,transfer,sameTrans,diffTrans,trainTrans,airTrans,platform,transport,store,public_med_facility,multi_facility
39,3,DT04,코마자와다이가쿠,4.8,0,0,-0.07474190224898442,1.4966629547095767,-0.36064249098051393,-0.47673129462279606,-0.2917299829957891,-0.19611613513818404,-0.19611613513818404,2.82842712474619,-1.0599978800063599,0.7088924605503402,0.2107429890882653,-0.8104432008587534
40,4,DT05,사쿠라신마치,6.3,0,0,-0.12999081499343393,1.4966629547095767,-0.36064249098051393,-0.47673129462279606,-0.2917299829957891,-0.19611613513818404,-0.19611613513818404,-0.35355339059327373,-1.0599978800063599,0.7718533040860612,-0.33990804691655707,-0.8104432008587534
41,5,DT06,요가,7.6,0,0,-0.14526903418558132,0.05345224838248503,-0.36064249098051393,-0.47673129462279606,-0.2917299829957891,-0.19611613513818404,-0.19611613513818404,-0.35355339059327373,0.37099925800222605,0.7088924605503402,1.1284947157629692,-0.8104432008587534
42,6,DT07,후타코타마가와,9.4,1,1,0.1015958730483723,1.4966629547095767,0.2121426417532435,2.097617696340303,-0.2917299829957891,-0.19611613513818404,-0.19611613513818404,-0.35355339059327373,-1.0599978800063599,1.5903442700504342,-0.33990804691655707,2.4074930378451205
43,7,DT08,후타코신치,10.1,0,1,-0.5566839523010182,0.05345224838248503,-0.36064249098051393,-0.47673129462279606,-0.2917299829957891,-0.19611613513818404,-0.19611613513818404,-0.35355339059327373,-1.0599978800063599,0.5829707734788981,-0.5234583922514978,-0.8104432008587534
44,8,DT09,다카쓰,10.7,0,1,-0.4838630929400127,0.05345224838248503,-0.36064249098051393,-0.47673129462279606,-0.2917299829957891,-0.19611613513818404,-0.19611613513818404,-0.35355339059327373,-1.0599978800063599,0.5200099299431772,0.2107429890882653,-0.16685595311797868
45,9,DT10,미조노쿠치,11.4,1,1,0.5958442693687546,-1.3897584579446067,0.7849277744870008,2.097617696340303,0.3646624787447364,-0.19611613513818404,-0.19611613513818404,-0.35355339059327373,1.801996396010812,0.5200099299431772,-0.8905590829213794,0.4767312946227961
46,10,DT11,카지가야,12.2,0,1,-0.4054375604811046,0.05345224838248503,-0.36064249098051393,-0.47673129462279606,-0.2917299829957891,-0.19611613513818404,-0.19611613513818404,-0.35355339059327373,-1.0599978800063599,-0.7392069407712428,-0.15635770158161627,-0.16685595311797868
47,11,DT12,미야자키다이,13.7,0,1,-0.3043539901602128,0.05345224838248503,-0.36064249098051393,-0.47673129462279606,-0.2917299829957891,-0.19611613513818404,-0.19611613513818404,-0.35355339059327373,0.37099925800222605,-0.48736356662835884,1.8626960971027324,0.4767312946227961
48,12,DT13,미야마에다이라,14.7,0,1,-0.3163511818626628,-1.3897584579446067,-0.36064249098051393,-0.47673129462279606,-0.2917299829957891,-0.19611613513818404,-0.19611613513818404,-0.35355339059327373,0.37099925800222605,-0.04663766187831184,0.3942933344232061,-0.16685595311797868
49,13,DT14,사기누마,15.7,1,1,-0.1844020185915777,0.05345224838248503,-0.36064249098051393,-0.47673129462279606,-0.2917299829957891,-0.19611613513818404,-0.19611613513818404,-0.35355339059327373,0.37099925800222605,-1.2428936890570108,-0.7070087375864386,-0.16685595311797868
50,14,DT15,타마 플라자,17.1,1,1,-0.010846634387307878,0.05345224838248503,-0.36064249098051393,-0.47673129462279606,-0.2917299829957891,-0.19611613513818404,-0.19611613513818404,-0.35355339059327373,1.801996396010812,0.7088924605503402,-0.7070087375864386,0.4767312946227961
51,15,DT16,아자미노,18.2,1,1,0.37552676389034684,0.05345224838248503,0.2121426417532435,-0.47673129462279606,0.3646624787447364,-0.19611613513818404,-0.19611613513818404,-0.35355339059327373,0.37099925800222605,0.6459316170146192,1.1284947157629692,-0.8104432008587534
52,16,DT17,에다,19.3,0,1,-0.4468941904953061,0.05345224838248503,-0.36064249098051393,-0.47673129462279606,-0.2917299829957891,-0.19611613513818404,-0.19611613513818404,-0.35355339059327373,0.37099925800222605,-0.8651286278426848,-0.5234583922514978,-0.8104432008587534
53,17,DT18,이치가오,20.6,0,1,-0.3788901587255586,0.05345224838248503,-0.36064249098051393,-0.47673129462279606,-0.2917299829957891,-0.19611613513818404,-0.19611613513818404,-0.35355339059327373,0.37099925800222605,-0.04663766187831184,0.027192643753324516,-0.16685595311797868
54,18,DT19,후지가오카,22.1,0,1,-0.5027015760039595,0.05345224838248503,-0.36064249098051393,-0.47673129462279606,-0.2917299829957891,-0.19611613513818404,-0.19611613513818404,-0.35355339059327373,0.37099925800222605,0.8977749911575031,1.1284947157629692,-0.16685595311797868
55,19,DT20,아오바다이,23.1,1,1,0.1688718956790684,-1.3897584579446067,-0.36064249098051393,-0.47673129462279606,-0.2917299829957891,-0.19611613513818404,-0.19611613513818404,-0.35355339059327373,0.37099925800222605,0.33112739933601415,-0.8905590829213794,1.7639057901043456
56,20,DT21,다나,24.5,0,1,-0.6597022318407588,0.05345224838248503,-0.36064249098051393,-0.47673129462279606,-0.2917299829957891,-0.19611613513818404,-0.19611613513818404,-0.35355339059327373,0.37099925800222605,-1.8095412808784999,-0.8905590829213794,-0.8104432008587534
57,21,DT22,나가츠타,25.6,1,1,0.3638586722096599,1.4966629547095767,0.7849277744870008,2.097617696340303,0.3646624787447364,-0.19611613513818404,-0.19611613513818404,-0.35355339059327373,-1.0599978800063599,-0.6762460972355219,-0.33990804691655707,-0.16685595311797868
58,22,DT23,쓰쿠시노,26.8,0,1,-0.6455210127211546,-1.3897584579446067,-0.36064249098051393,-0.47673129462279606,-0.2917299829957891,-0.19611613513818404,-0.19611613513818404,-0.35355339059327373,0.37099925800222605,-1.116972001985569,-1.0741094282563202,0.4767312946227961
59,23,DT24,스즈카케다이,28.0,0,1,-0.6495599675337002,0.05345224838248503,-0.36064249098051393,-0.47673129462279606,-0.2917299829957891,-0.19611613513818404,-0.19611613513818404,-0.35355339059327373,-1.0599978800063599,-1.8725021244142208,-0.8905590829213794,-0.8104432008587534
60,24,DT25,미나미마치다그랑베리파크,29.2,1,1,-0.3230927459448375,0.05345224838248503,-0.36064249098051393,-0.47673129462279606,-0.2917299829957891,-0.19611613513818404,-0.19611613513818404,-0.35355339059327373,1.801996396010812,-0.5503244101640798,0.5778436797581469,-0.8104432008587534
61,25,DT26,츠키미노,30.3,0,1,-0.647236321925495,0.05345224838248503,-0.36064249098051393,-0.47673129462279606,-0.2917299829957891,-0.19611613513818404,-0.19611613513818404,-0.35355339059327373,-1.0599978800063599,-2.124345498557105,-1.257659773591261,-0.8104432008587534
62,26,DT27,주오린칸,31.5,1,0,0.18373126029806294,1.4966629547095767,0.2121426417532435,-0.47673129462279606,0.3646624787447364,-0.19611613513818404,-0.19611613513818404,2.82842712474619,0.37099925800222605,0.5829707734788981,2.046246442437673,0.4767312946227961
63,0,TJ16,미즈호다이,0.0,0,1,-0.5367638376341404,-3.3026075296415955,-0.6733259802262709,-1.1147728228665883,-0.44758570505996825,-0.32444284226152503,-0.22360679774997896,0.6324555320336758,1.5954480704349314,0.599245184191841,0.15617376188860607,-0.5733036497128153
64,1,TJ15,야나세가와,1.3,0,1,-0.70215289957483,-0.287183263447095,-0.6733259802262709,-1.1147728228665883,-0.44758570505996825,-0.32444284226152503,-0.22360679774997896,0.6324555320336758,0.39886201760873286,-1.446453892876858,-0.17179113807746663,-0.5733036497128153
65,2,TJ14,시키,2.8,0,1,-0.07011309101891466,-0.287183263447095,-0.6733259802262709,-1.1147728228665883,-0.44758570505996825,-0.32444284226152503,-0.22360679774997896,-1.5811388300841895,0.39886201760873286,-0.20663627041097984,0.4841386618546788,-0.5733036497128153
66,3,TJ13,아사카다이,4.2,1,1,0.3938181245191548,-0.287183263447095,-0.26933039209050835,-1.1147728228665883,0.04711428474315455,-0.32444284226152503,-0.22360679774997896,-1.5811388300841895,1.5954480704349314,0.599245184191841,1.1400684617868242,-0.5733036497128153
67,4,TJ12,아사카,6.6,0,1,-0.31826597134592743,1.2205288696501553,-0.6733259802262709,-1.1147728228665883,-0.44758570505996825,-0.32444284226152503,-0.22360679774997896,-1.5811388300841895,1.5954480704349314,0.41327254082195924,2.779892961617188,-0.2723192336135873
68,5,F-01,와코시,8.1,1,1,0.47257193370572215,-0.287183263447095,0.13466519604525415,0.34836650714580897,0.04711428474315455,-0.32444284226152503,-0.22360679774997896,0.6324555320336758,1.5954480704349314,0.4752634219452532,0.4841386618546788,-0.2723192336135873
69,6,F-02,치카테츠나리마스,10.3,0,0,-0.4683078706473783,1.2205288696501553,-0.26933039209050835,0.34836650714580897,-0.44758570505996825,-0.32444284226152503,-0.22360679774997896,0.6324555320336758,0.39886201760873286,0.7232269464384288,0.4841386618546788,0.028665182485640803
70,7,F-03,지카테쓰 아카쓰카,11.7,0,0,-0.5356725608324789,-0.287183263447095,-0.26933039209050835,0.34836650714580897,-0.44758570505996825,-0.32444284226152503,-0.22360679774997896,0.6324555320336758,-0.7977240352174656,0.6612360653151349,1.1400684617868242,-0.2723192336135873
